Channel,X,Y,Z,CFAWeight,EarlyOrthWeight,LateOrthWeight,RLocked100to200OrthWeight,PooledCFA_Template_uV,PooledEarly_Template_uV,PooledLate_Template_uV,PooledRLocked100to200_Template_uV,HC_EarlyMean_uV,HC_RLocked100to200Mean_uV,HC_CFA_Mean_uV
F5,48.0353,64.4658,16.921,-0.010558638286823,-0.019015458060945,-0.0225011972792675,-0.00528662861812168,-0.398184250357737,-0.61650159428373,-0.623941020116167,-0.0424151001818497,-0.591631673048099,-0.247006632530831,-0.458371551183247
FT7,14.1203,80.775,-11.135,-0.0043437310404131,-0.00870840116278695,-0.0245997152326307,-0.0187723826584319,-0.163809502806914,-0.266816783579508,-0.566445369035687,0.100356028491963,0.0475265284825534,0.220353686619303,-0.0693295428846004
FC3,22.7162,60.1819,55.544,-0.00579268760480464,0.00995954927864664,0.00340662683206269,-0.0132849426625568,-0.218452125058042,-0.0344363533090564,-0.0243016021832231,0.0504375693946512,0.385807717911786,0.115861659048027,-0.217544129216644
C1,-9.98389999999999,36.158,89.752,-0.00533997617480438,0.0209747388671689,0.020475863965536,0.0248446386932464,-0.201379605241922,0.14395049973091,0.32758720223874,-0.216769812119311,0.0737240833045814,-0.334111224193851,-0.197953259405673
C5,-13.7597,80.2801,29.16,0.00431468357160161,0.00319176015720594,-0.0123771198268412,-0.0279147664956165,0.162714073237371,0.183715382835484,-0.180554640616426,0.230798474861047,0.333134275454853,0.116784467315535,0.166758742912704
TP7,-46.0217,84.8302,-7.056,0.0278586438308649,0.00140926018096345,-0.0127481624688043,-0.0302979435760826,1.05059695279266,0.90017729438108,0.190266044879958,0.425962571657659,1.19806489358856,0.456736352876316,0.88466364668542
CP3,-47.0088,63.5562,65.624,0.00476959027083246,0.0274986249905932,0.0149404619057011,-0.0114761122532598,0.179869380398712,0.560185550884186,0.378275468581195,0.11756481933629,0.683725829591634,0.282449826170875,0.172246955618731
P1,-80.5249,28.6203,75.436,0.00571987208330651,0.0295519732660986,0.0269902634853038,0.0124350474394097,0.215706127605101,0.620765170856058,0.636820927527384,-0.0449564914390585,1.07983720241634,0.688681353403013,0.366829831169339
P5,-76.2907,67.2723,28.382,0.0225738544780989,0.00812343689472989,0.00107285626676947,-0.0199769682334937,0.851298536693318,0.833421295837886,0.384383906463208,0.312696124318278,1.1214402915473,0.567343880781478,0.79721210111326
PO7,-97.5279,54.8404000000001,2.792,0.0456369819231175,-0.00602876524124538,-0.00749404639338679,-0.00297229653392477,1.72104839109077,1.35042989605966,0.582010440927982,0.366609489289797,1.56720337445703,0.490077308494278,1.2521274079621
PO3,-100.8529,36.5114,37.167,0.0235461526987925,0.0169372864283039,0.0185431458754633,0.0132834762505617,0.887965560187645,0.995410955458677,0.752718529132921,0.0839824700043849,1.75888342815118,0.740015650244287,0.885500568215216
POz,-102.178,-0.215599999999991,50.608,0.0158680480299364,0.0177041899403065,0.0223478289095455,0.00496486608990988,0.598411143350372,0.764524940945287,0.706157895802685,0.0848958820090164,0.99534172089827,0.437525417097803,0.669467113430726
PO4,-100.8491,-36.7816,36.397,0.0144405067920539,0.00319898202747146,0.0082843757900737,0.0120200707201849,0.544576129571146,0.503380832093486,0.399289639093247,0.0240119309787032,0.876300361382617,0.355710343788651,1.03885652054277
PO8,-97.6251,-55.6666,2.73,0.0132178103443412,-0.00564119691963111,0.0145748639396897,0.0323844020054741,0.498466162052406,0.333096683851167,0.50664298518192,-0.129786216444727,0.43494307933741,-0.133094504541714,0.423962884496135
P6,-75.9043,-67.8877,28.091,0.00155132537837474,0.0122513274236013,0.0174299195610571,0.00322485318596724,0.0585031247466799,0.231473170365389,0.376823573262106,-0.0111443279377932,0.303009990035074,0.0648786018405694,0.141084051377655
P2,-80.4871,-31.9197,76.716,-0.000779737202319598,0.0297795057634868,0.0311896340903548,0.0291009107140655,-0.0294052192098616,0.419035611079316,0.617165160155663,-0.212454737928889,0.989953663452097,0.520676954423556,0.258555254460035
CPz,-47.318,-0.385799999999992,99.432,-0.00367287746811006,0.0336425772627897,0.0385076018437457,0.0392559212850134,-0.138510470911801,0.38528233937266,0.71842129696568,-0.306436280699993,0.22734384684454,-0.220837266546288,-0.124036850313927
CP4,-46.6372,-66.6118,65.58,-0.00785496773389491,0.0207741889167943,0.0213778450121049,0.0127803906873686,-0.296224224539304,0.0615929122693013,0.305385817381772,-0.150181352036166,0.10301048923002,-0.00729833479119263,-0.208056994015388
TP8,-45.5453,-85.5488,-7.13,-0.0119980568325034,0.00865675398776424,0.015579162392422,-0.00951012096972412,-0.452467177662678,-0.249678286374822,0.121742512026702,-0.0233354310594158,-0.303238879524728,0.0207534103610803,-0.330289542792377
C6,-12.7763,-83.4559,29.208,-0.0182138505463741,-0.00518144202991561,0.00327661891039131,0.0123167474749374,-0.686875355412714,-0.651996564090718,-0.22651350582225,-0.22531654194726,-1.03353149580957,-0.420282324200364,-0.782790407824682
C2,-9.62410000000001,-37.672,88.412,-0.0078819071508153,0.0158052497456623,0.0201808723347517,0.00531779190864436,-0.297240155878188,-0.0132825193097676,0.280787007874917,-0.0974175342512418,-0.0684296264512428,-0.334374009402212,-0.323146226433892
FC4,23.7228,-62.2931,55.63,-0.0182460650909328,-0.00597925130886885,0.00212599507248326,0.0250661603534298,-0.688090220807972,-0.664898655331611,-0.250261331060635,-0.316052772900914,-0.811568774397037,-0.383807253460479,-0.625655411885803
FT8,15.4167,-81.8151,-11.33,-0.0279298464805795,-0.0139282989436791,-0.0104188967999299,-0.0284005526109937,-1.05328212610099,-1.0889279651578,-0.659134887373223,-0.00987350079233984,-2.01416127189287,-0.485448394755388,-0.868890316672105
F6,49.8297,-67.9142,16.367,-0.020421630368361,-0.0253951470884723,-0.0231986367397826,-0.0179026099292914,-0.770134496363671,-1.02280688762009,-0.796503428460339,-0.0275415116742479,-1.31043818025535,-0.291664572284584,-0.616814042333423
AF8,69.6568,-55.7433,-10.755,-0.0264474647961009,-0.0343637021911954,-0.0308259918309399,-0.00819959243780039,-0.997378985587613,-1.34658434341779,-1.04731873818729,-0.142032214247584,-2.09657238650102,-0.585549864089262,-1.01280385623177
AF4,77.7259,-35.7123,21.956,-0.0166825625630637,-0.0314569095353954,-0.0240536555622424,0.00404797362612523,-0.629127874994031,-0.995112452805889,-0.753685071749081,-0.155033505869045,-1.39273765955328,-0.427105939343081,-0.483572016525166
Iz,-118.565,-0.00449999999996693,-23.078,0.0587559733974549,-0.043472991010868,-0.0205998563477225,0.0184103933287003,2.21578792508709,1.20661924396063,0.528214502304456,0.314162694176594,1.11891973422389,0.296191630651913,1.36014621554724
AFF1h,70.7561,11.4357,50.348,-0.0130647470483074,-0.00827152577531981,-0.00895366263723327,0.000945683066851921,-0.492693884213833,-0.535532354988649,-0.390695875532616,-0.105624072511663,-0.58467233126289,-0.167130887700552,-0.508979958597665
AFF2h,71.201,-13.4793,51.175,-0.0146310755657466,-0.0219161911232468,-0.0167449787222288,0.0183665930864465,-0.551762802912263,-0.788236393322122,-0.573164687950501,-0.241132109681129,-1.16779659949963,-0.770086379017723,-0.544807013217827
